,0,Modelo
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
0,0.19590683120841737,"VAR (Rs, Tmax, Tmin, ETo)"
